areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02
All Downtown,Manhattan,submarket,7150000.000,6995000.000,7000000.000,6997500.000,7300000.000,7375000.000,7000000.000,6995000.000,6947500.000,6850000.000,6850000.000,6947500.000,7000000.000,7000000.000,7000000.000,6825000.000,6500000.000,6825000.000,6825000.000,6947500.000,7400000.000,7549999.000,7950000.000,8750000.000,8575000.000,7600000.000,7150000.000,6950000.000,6500000.000,6925000.000,6975000.000,6850000.000,6750000.000,6750000.000,7372500.000,7647500.000,6625000.000,7800000.000,7995000.000,9000000.000,9425000.000,9980000.000,9885000.000,9000000.000,8992500.000,8990000.000,8992500.000,8995000.000,8995000.000,9935000.000,9995000.000,9885000.000,9250000.000,9500000.000,8990000.000,8785000.000,8997500.000,9500000.000,10125000.000,9997500.000,9972500.000,9625000.000,9625000.000,10997500.000,11250000.000,11700000.000,11900000.000,11700000.000,11000000.000,11995000.000,11450000.000,10995000.000,10500000.000,10997500.000,11250000.000,11000000.000,10650000.000,11245000.000,10800000.000,10995000.000,10995000.000,10800000.000,10977700.000,11495000.000,10995000.000,11500000.000,11500000.000,10995000.000,11000000.000,10995000.000,10995000.000,10800000.000,10900000.000,10850000.000,10495000.000,10500000.000,10250000.000,10250000.000,10472500.000,10947500.000,10995000.000,10450000.000,9999998.000,9995000.000,9900000.000,9925000.000,9999900.000,10222500.000,10995000.000,10450000.000,9925000.000,9500000.000,10000000.000,10995000.000,10000000.000,10897500.000,9500000.000,9375000.000,9375000.000,9250000.000,8995000.000,8750000.000,8850000.000,8650000.000,8850000.000,8970000.000,9000000.000,9000000.000,9175000.000,8985000.000,8950000.000,8960000.000,8950000.000,8775000.000,8895000.000,8950000.000,9625000.000,9450000.000,8900000.000,8900000.000,9100000.000,9275000.000,8900000.000,9100000.000,9047500.000,8995000.000,8900000.000,8995000.000,9725000.000,10150000.000,10000000.000,11725000.000,10625000.000,10625000.000,10750000.000,10625000.000,11000000.000,10625000.000,10625000.000,11500000.000,11725000.000,10750000.000,10000000.000,9950000.000,10750000.000,10750000.000,12000000.000,11872500.000,10500000.000,11500000.000
All Midtown,Manhattan,submarket,4525000.000,4750000.000,4300000.000,3950000.000,4300000.000,4100000.000,4375000.000,4250000.000,4400000.000,4500000.000,4825000.000,4750000.000,5000000.000,5000000.000,4950000.000,4950000.000,4900000.000,4947500.000,4500000.000,3999000.000,3999000.000,3949500.000,3949500.000,3900000.000,4225000.000,4372500.000,4495000.000,4495000.000,4495000.000,4747500.000,4747500.000,4747500.000,4500000.000,4497500.000,4500000.000,4700000.000,5400000.000,5425000.000,5400000.000,5350000.000,5425000.000,5750000.000,6125000.000,6500000.000,6995000.000,6500000.000,6500000.000,6500000.000,6500000.000,6400000.000,6425000.000,6500000.000,6325000.000,6495000.000,6495000.000,6697500.000,6872500.000,7250000.000,7285000.000,7375000.000,7375000.000,6472500.000,6450000.000,6350000.000,6195000.000,6250000.000,6325000.000,6400000.000,6400000.000,6195000.000,6400000.000,7500000.000,7500000.000,7500000.000,6395000.000,7215000.000,7000000.000,6500000.000,6395000.000,6247500.000,6175000.000,6650000.000,7000000.000,7035000.000,7215000.000,7395000.000,7035000.000,7395000.000,7495000.000,7499000.000,7745000.000,8247500.000,7495000.000,7495000.000,6797500.000,6600000.000,6600000.000,6797500.000,6995000.000,6500000.000,6500000.000,6500000.000,7035000.000,6975000.000,6500000.000,6200000.000,6350000.000,6500000.000,7200000.000,7725000.000,7450000.000,7450000.000,7475000.000,6900000.000,7450000.000,6950000.000,6490000.000,5810000.000,6195000.000,6195000.000,5825000.000,5900000.000,6500000.000,6500000.000,6500000.000,6500000.000,6195000.000,6195000.000,6195000.000,5900000.000,5775000.000,5525000.000,5525000.000,5000000.000,5000000.000,5800000.000,5950000.000,5650000.000,5950000.000,4495000.000,5950000.000,4950000.000,4950000.000,4950000.000,7295000.000,5672500.000,5622500.000,5495000.000,5125000.000,5672500.000,6325000.000,6800000.000,5897500.000,6525000.000,6975000.000,6348681.000,6050000.000,5495000.000,5275000.000,5647500.000,5995000.000,5747500.000,6250000.000,5950000.000,5500000.000,5500000.000,5500000.000,5499000.000,5724500.000,5995000.000
All Upper East Side,Manhattan,submarket,9900000.000,9500000.000,9950000.000,9972500.000,9995000.000,9972500.000,10497500.000,9950000.000,10950000.000,11122500.000,11575000.000,12100000.000,12100000.000,10950000.000,11250000.000,13750000.000,11875000.000,11475000.000,11475000.000,10950000.000,9000000.000,9500000.000,10950000.000,13950000.000,14500000.000,13725000.000,14225000.000,14975000.000,15000000.000,14700000.000,13500000.000,13950000.000,14900000.000,13000000.000,13000000.000,13950000.000,13245000.000,13490000.000,13720000.000,12950000.000,12975000.000,12250000.000,12950000.000,13400000.000,13975000.000,14000000.000,15900000.000,14000000.000,13900000.000,13900000.000,13800000.000,15000000.000,13850000.000,12950000.000,12725000.000,13500000.000,13800000.000,13900000.000,13800000.000,13500000.000,12950000.000,13500000.000,13500000.000,14500000.000,14625000.000,15900000.000,16000000.000,16000000.000,15992500.000,15992500.000,15450000.000,14900000.000,14999999.000,15985000.000,15000000.000,13900000.000,13900000.000,13900000.000,14975000.000,14975000.000,16197500.000,14950000.000,14250000.000,16000000.000,15975000.000,13950000.000,14975000.000,14700000.000,14500000.000,15700000.000,15950000.000,14425000.000,15750000.000,15075000.000,15400000.000,15750000.000,16500000.000,15950000.000,15400000.000,14000000.000,12900000.000,12950000.000,12825000.000,12925000.000,12373500.000,12750000.000,12373500.000,11950000.000,11973500.000,12750000.000,11925000.000,12750000.000,12995000.000,11900000.000,11825000.000,11284000.000,11825000.000,10818000.000,9997000.000,9999000.000,10818000.000,10408500.000,9950000.000,9995000.000,9972500.000,9900000.000,9625000.000,9500000.000,9459000.000,9825000.000,9459000.000,9494000.000,9950000.000,10950000.000,11500000.000,10475000.000,11000000.000,11250000.000,10975000.000,10250000.000,10950000.000,10600000.000,10250000.000,10250000.000,11500000.000,11500000.000,11995000.000,11995000.000,11250000.000,10950000.000,10750000.000,11250000.000,10950000.000,10995000.000,10750000.000,10750000.000,11375000.000,11875000.000,11650000.000,10250000.000,10250000.000,10250000.000,10815000.000,11950000.000,10880000.000,11950000.000,11975000.000,11975000.000,11950000.000,12495000.000
All Upper Manhattan,Manhattan,submarket,1292500.000,1300000.000,1292500.000,1290000.000,1292500.000,1255000.000,1255000.000,1250000.000,1205000.000,1200000.000,1202500.000,1250000.000,1172500.000,1197500.000,1200000.000,1282500.000,1295000.000,1350000.000,1310000.000,1349500.000,1349000.000,1375000.000,1395000.000,1395000.000,1482500.000,1482500.000,1475000.000,1400000.000,1400000.000,1425000.000,1400000.000,1450000.000,1490000.000,1597500.000,1675000.000,1650000.000,1694500.000,1699500.000,1725000.000,1737500.000,1725000.000,1750000.000,1699000.000,1790000.000,1662500.000,1662500.000,1699000.000,1699500.000,1712500.000,1732500.000,1775000.000,1800000.000,1849500.000,1999999.000,1937500.000,1800000.000,2000000.000,2050000.000,2000000.000,2000000.000,2000000.000,2050000.000,2200000.000,2225000.000,2250000.000,2297000.000,2390000.000,2400000.000,2495000.000,2500000.000,2500000.000,2525000.000,2637500.000,2500000.000,2495000.000,2495000.000,2497500.000,2600000.000,2600000.000,2500000.000,2650000.000,2625000.000,2595000.000,2500000.000,2600000.000,2600000.000,2650000.000,2650000.000,2775000.000,2849000.000,2750000.000,2750000.000,2650000.000,2772500.000,2725000.000,2700000.000,2750000.000,2834000.000,2800000.000,2825000.000,2795000.000,2720000.000,2750000.000,2750000.000,2650000.000,2595000.000,2585000.000,2585000.000,2597500.000,2500000.000,2500000.000,2575000.000,2662500.000,2700000.000,2650000.000,2675000.000,2675000.000,2625000.000,2575000.000,2600000.000,2549500.000,2499000.000,2575000.000,2499000.000,2575000.000,2650000.000,2587000.000,2495000.000,2537000.000,2498500.000,2485000.000,2475000.000,2425000.000,2450000.000,2495000.000,2495000.000,2497500.000,2385000.000,2447500.000,2299000.000,2395000.000,2397000.000,2399000.000,2472500.000,2400000.000,2470000.000,2395000.000,2457500.000,2495000.000,2492500.000,2375000.000,2295000.000,2382000.000,2400000.000,2437500.000,2412500.000,2395000.000,2395000.000,2412500.000,2400000.000,2400000.000,2395000.000,2395000.000,2299500.000,2300000.000,2395000.000,2447500.000,2397500.000,2500000.000,2599000.000
All Upper West Side,Manhattan,submarket,4122500.000,3995000.000,3995000.000,3995000.000,4195000.000,4495000.000,4345000.000,4600000.000,4750000.000,4750000.000,4850000.000,4850000.000,4850000.000,4850000.000,4750000.000,4750000.000,4750000.000,4750000.000,4850000.000,4974500.000,4974500.000,4775000.000,5087000.000,5199500.000,4800000.000,4800000.000,4800000.000,5850000.000,5975000.000,6237500.000,5350000.000,5200000.000,5200000.000,5325000.000,5200000.000,5200000.000,5400000.000,7250000.000,7950000.000,7950000.000,8000000.000,7900000.000,7925000.000,7925000.000,7925000.000,7950000.000,8999999.000,9500000.000,8492500.000,8999999.000,8350000.000,7800000.000,7995000.000,8900000.000,11500000.000,11747500.000,11500000.000,11500000.000,11747500.000,11500000.000,11995000.000,11995000.000,11995000.000,8250000.000,12247500.000,11447500.000,10147500.000,9995000.000,9995000.000,8995000.000,8995000.000,9275000.000,7995000.000,8325000.000,8462500.000,8177500.000,8450000.000,8995000.000,8995000.000,8995000.000,9122500.000,8950000.000,8872500.000,8795000.000,8870000.000,8870000.000,8750000.000,8512500.000,8400000.000,8450000.000,8662500.000,8900000.000,9247500.000,9247500.000,8870000.000,8990000.000,8870000.000,8695000.000,8750000.000,8722500.000,8250000.000,8500000.000,7995000.000,7972500.000,7950000.000,7900000.000,7900000.000,7695000.000,7925000.000,7900000.000,7900000.000,7900000.000,7490000.000,7295000.000,7400000.000,7200000.000,7075000.000,7295000.000,7200000.000,6950000.000,6950000.000,6500000.000,6397500.000,6125000.000,5997500.000,5995000.000,5995000.000,5995000.000,5995000.000,5995000.000,6250000.000,6445000.000,6495000.000,6950000.000,6995000.000,7995000.000,7995000.000,6997500.000,6995000.000,7195000.000,6850000.000,6750000.000,6595000.000,6972500.000,6750000.000,7747500.000,6750000.000,7000000.000,7000000.000,7332500.000,7395000.000,7445000.000,7995000.000,8247500.000,8500000.000,8495000.000,8495000.000,7350000.000,7250000.000,7622500.000,7850000.000,8497500.000,8497500.000,7950000.000,8500000.000,8950000.000,8950000.000,8950000.000,8497500.000,7247500.000
Astoria,Queens,neighborhood,947500.000,947500.000,879500.000,,,,,,,,,,,,,847000.000,847000.000,799000.000,747500.000,784500.000,784500.000,799000.000,810000.000,804500.000,845000.000,875000.000,770000.000,,847000.000,735000.000,757000.000,777000.000,735000.000,759000.000,742000.000,742000.000,775000.000,775000.000,775000.000,902850.000,915450.000,1122500.000,949400.000,849000.000,917400.000,1245000.000,899800.000,965000.000,879000.000,1039000.000,949944.000,857000.000,879000.000,1000000.000,950000.000,925000.000,925000.000,952250.000,1225000.000,1400000.000,1395000.000,1475000.000,1250000.000,1225000.000,1250000.000,1250000.000,1250000.000,1197000.000,1100000.000,1195000.000,1248888.000,1147500.000,1221900.000,1248844.000,1299000.000,1297000.000,1299000.000,1299000.000,1299000.000,1350000.000,1349000.000,1300000.000,1349000.000,1395000.000,1395000.000,1397500.000,1449000.000,1599000.000,1599000.000,1399000.000,1399000.000,1437500.000,1589500.000,1575000.000,1437500.000,1500000.000,1500000.000,1500000.000,1500000.000,1587500.000,1491500.000,1550000.000,1579500.000,1550000.000,1550000.000,1599500.000,1598000.000,1596500.000,1724000.000,1610000.000,1600000.000,1549000.000,1526500.000,1568500.000,1525000.000,1579500.000,1499500.000,1499000.000,1499000.000,1479000.000,1479000.000,1469000.000,1449000.000,1483900.000,1400000.000,1449000.000,1362500.000,1350000.000,1333500.000,1350000.000,1362500.000,1350000.000,1395000.000,1442500.000,1442500.000,1450000.000,1450000.000,1397000.000,1449000.000,1399000.000,1399000.000,1439500.000,1500000.000,1550000.000,1498000.000,1495000.000,1450000.000,1478944.000,1429000.000,1454500.000,1409500.000,1450000.000,1492000.000,1450000.000,1399000.000,1500000.000,1478000.000,1500000.000,1488000.000,1524000.000,1524000.000,1468000.000,1600000.000,1575000.000,1612000.000,1649000.000,1599000.000,1595000.000,1665000.000,1689999.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567000.000,595000.000,577000.000,,,,,,,,,,,,,,,,,,,,,,,,,739888.000,749000.000,769000.000,,,,,,,,,,728500.000,679000.000,,,,,,,,,944500.000,,,,,,,,824000.000,800000.000,899000.000,1056500.000,899000.000,899000.000,899500.000,1087500.000,1087500.000,1020000.000,1000000.000,987000.000,987000.000,1020000.000,1005000.000,899000.000,899000.000,899999.000,978000.000,963000.000,978000.000,993444.000,1043444.000,1088888.000,1095000.000,970000.000,1080000.000,970000.000,978000.000,975000.000,971934.000,951500.000,971500.000,964000.000,964000.000,950000.000,950000.000,904388.000,828888.000,839000.000,833944.000,904500.000,909000.000,909000.000,948000.000,1028899.000,1049000.000,1101487.000,998000.000,848944.000,858888.000,971987.000,1250000.000,1038888.000,958000.000,1023444.000,899000.000,899000.000,,,,1049000.000,1024000.000,999999.000,,,1188000.000,1025000.000,1025000.000,969000.000,983500.000,1028000.000,1048944.000,1049000.000,999000.000,1048888.000,1068000.000,1139000.000,1088000.000,1043944.000,1038000.000,1150000.000,1150000.000,1150888.000,973000.000
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,699000.000,,,649000.000,644000.000,644000.000,644000.000,649000.000,688000.000,663500.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198000.000,998000.000,988950.000,1074000.000,1150000.000,998500.000,998000.000,998500.000,993500.000,946900.000,1049400.000,1219444.000,1294444.000,1288888.000,1348000.000,1412000.000,1450000.000,1399000.000,1450000.000,1424500.000,1375000.000,1350000.000,1280000.000,1255000.000,1250000.000,1250000.000,1280000.000,1307000.000,1299000.000,1387500.000,1387500.000,1315000.000,1450000.000,1399000.000,1399000.000,1315000.000,1450888.000,1499000.000,1512500.000,1500000.000,1449500.000,1399000.000,1399000.000,1399000.000,1499000.000,1500000.000,1500000.000,1400000.000,1393500.000,1384000.000,1380000.000,1365000.000,1339500.000,1329000.000,1359999.000,1398500.000,1399000.000,1369000.000,1339500.000,1249000.000,1315000.000,1499000.000,1388000.000,1443500.000,1524000.000,1366500.000,1280000.000,1275000.000,1285000.000,1320000.000,1320000.000,1388000.000,1399000.000,1419000.000,1428000.000,1549500.000,1600000.000,1449000.000,1600000.000,1438500.000,1428000.000,1199000.000,1379000.000,1373500.000,1589000.000,1448000.000,1350000.000,1297444.000,1350000.000,1498000.000,1577500.000,1575000.000,1493000.000,1493000.000,1536500.000,1645000.000
Battery Park City,Manhattan,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay Ridge,Brooklyn,neighborhood,894000.000,884500.000,924500.000,899000.000,960000.000,924500.000,887000.000,869000.000,857250.000,857250.000,849000.000,847250.000,882000.000,899000.000,897000.000,895000.000,899000.000,950000.000,959500.000,944500.000,939000.000,839000.000,904000.000,839000.000,969000.000,799000.000,813500.000,828000.000,780000.000,767500.000,780000.000,799000.000,865000.000,814000.000,833500.000,838000.000,857000.000,909000.000,888000.000,924000.000,922000.000,925000.000,932000.000,929000.000,935000.000,940001.000,935001.000,945000.000,999000.000,995000.000,1075000.000,1100000.000,1194000.000,1216500.000,1361500.000,1245000.000,1247500.000,1188000.000,1188000.000,1198500.000,1193500.000,1300000.000,1350000.000,1370000.000,1295000.000,1281944.000,1310000.000,1337500.000,1425000.000,1425000.000,1425000.000,1450000.000,1437500.000,1400000.000,1399000.000,1395000.000,1300000.000,1344000.000,1398500.000,1365000.000,1300000.000,1300000.000,1299000.000,1299000.000,1279000.000,1295000.000,1399000.000,1399500.000,1399000.000,1349000.000,1349500.000,1377000.000,1398500.000,1395000.000,1372000.000,1374000.000,1421500.000,1395000.000,1368000.000,1300000.000,1299000.000,1350000.000,1350000.000,1334000.000,1359000.000,1372500.000,1435000.000,1397000.000,1399000.000,1395000.000,1395000.000,1399000.000,1400000.000,1425000.000,1415000.000,1398500.000,1391500.000,1372500.000,1337000.000,1280000.000,1299000.000,1292500.000,1297000.000,1299500.000,1297500.000,1325000.000,1299000.000,1343500.000,1397000.000,1377500.000,1350000.000,1399000.000,1447500.000,1469500.000,1500000.000,1459000.000,1450000.000,1512500.000,1580000.000,1512500.000,1553000.000,1538000.000,1529000.000,1490000.000,1499000.000,1455000.000,1425000.000,1450000.000,1425000.000,1425000.000,1396944.000,1425000.000,1495000.000,1499000.000,1482500.000,1437000.000,1449000.000,1470000.000,1500000.000,1499999.000,1475000.000,1424500.000,1480000.000,1475000.000,1426500.000,1399000.000,1399000.000,1428000.000,1428000.000,1488000.000
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,760000.000,760000.000,788800.000,774400.000,794500.000,839000.000,839000.000,824000.000,849000.000,949000.000,,,,1074950.000,,,999450.000,974000.000,1100000.000,962000.000,949000.000,924000.000,924000.000,749500.000,854000.000,,,807000.000,879500.000,954000.000,949000.000,954000.000,959000.000,959000.000,959000.000,967000.000,975000.000,959000.000,959000.000,985000.000,,,,1079500.000,1034944.000,869444.000,739000.000,,,828500.000,999888.000,949888.000,1150000.000,974444.000,999000.000,999000.000,999000.000,993500.000,999000.000,944500.000,944500.000,944500.000,949500.000,1048500.000,1169400.000,1188800.000,1150000.000,1008500.000,1150000.000,1150000.000,1088888.000,1185000.000,1150000.000,1167500.000,1088888.000,969000.000,969000.000,969000.000,969000.000,1054000.000,1065000.000,969000.000,1065000.000,1044444.000,995000.000,992500.000,998000.000,996500.000,992500.000,1120000.000,1089000.000,1244000.000,1299000.000,1228500.000,1258000.000,1174500.000,1199000.000,1198000.000,1158000.000,1178000.000,1158000.000,1080000.000,1380000.000,1389500.000,1398000.000,1300000.000,1250000.000,1193500.000,1193500.000,1199000.000,1178000.000,1199000.000,1200000.000,1198888.000,1198888.000,1174444.000,1150000.000,1173944.000,1279000.000,1138000.000,1249000.000,1249500.000,1088000.000,1228000.000,1269000.000,1100000.000,1098000.000,1139500.000,1150000.000,1125000.000,1248000.000,1248000.000,1251000.000,1251000.000,1218000.000,1388000.000,1373444.000,1289444.000,1369000.000,1350000.000,1384000.000,1398000.000,1443500.000,1398000.000,1350000.000,1288000.000,1260000.000,1295000.000,1285000.000,1295000.000,1399888.000,1399888.000,1394388.000,1350000.000,1369444.000,1419444.000,1350000.000,1369444.000,1424500.000,1388888.000,1399500.000,1399500.000,1400000.000,1388888.000,1168000.000,1168000.000,1339000.000,1359000.000,1250000.000,1250000.000
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford-Stuyvesant,Brooklyn,neighborhood,662500.000,675000.000,650000.000,614000.000,609500.000,647000.000,647000.000,646000.000,648000.000,599000.000,579000.000,569000.000,574000.000,550000.000,549500.000,550000.000,550000.000,549000.000,549000.000,549000.000,555000.000,550000.000,555000.000,560000.000,550000.000,575000.000,560000.000,579000.000,598000.000,625000.000,639000.000,639000.000,699000.000,699000.000,699000.000,716981.000,739500.000,789000.000,844500.000,859500.000,832500.000,849000.000,875000.000,977000.000,942000.000,989000.000,949500.000,962500.000,912500.000,950000.000,995000.000,999000.000,999999.000,999999.000,1067500.000,1100000.000,1100000.000,1197000.000,1162500.000,1100000.000,1100000.000,1100000.000,1199000.000,1225000.000,1250000.000,1250000.000,1250000.000,1255000.000,1299000.000,1300000.000,1350000.000,1349500.000,1349500.000,1324750.000,1300000.000,1299999.000,1350000.000,1350000.000,1300000.000,1350000.000,1387500.000,1399000.000,1450000.000,1399000.000,1399000.000,1399000.000,1399995.000,1424500.000,1450000.000,1437000.000,1450000.000,1495000.000,1499500.000,1500000.000,1500000.000,1495000.000,1500000.000,1500000.000,1549500.000,1595000.000,1600000.000,1592500.000,1557500.000,1590000.000,1599000.000,1565000.000,1502500.000,1549000.000,1549000.000,1595000.000,1595000.000,1500000.000,1595000.000,1595000.000,1599000.000,1599000.000,1599000.000,1597000.000,1550000.000,1549500.000,1592000.000,1589000.000,1567500.000,1500000.000,1500000.000,1509000.000,1597000.000,1595000.000,1599500.000,1595000.000,1650000.000,1682500.000,1675000.000,1695000.000,1695000.000,1685000.000,1799000.000,1749000.000,1700000.000,1688000.000,1695000.000,1750000.000,1799000.000,1800000.000,1800000.000,1850000.000,1897000.000,1950000.000,1999000.000,1925000.000,1885000.000,1849500.000,1799999.000,1849000.000,1899999.000,1832500.000,1900000.000,1900000.000,1899999.000,1945000.000,1999891.000,1997498.000,1995000.000,1995000.000,1900000.000,1925000.000,1900000.000,1800000.000,1895000.000,1900000.000
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560000.000,564500.000,,,,,,,,,569000.000,569000.000,569000.000,589000.000,599000.000,588000.000,617900.000,637800.000,584000.000,578000.000,619000.000,609000.000,599000.000,598000.000,598000.000,603500.000,608500.000,629000.000,649000.000,635945.000,684500.000,680000.000,684500.000,680000.000,644000.000,649000.000,649000.000,649000.000,639444.000,629888.000,650000.000,694000.000,704250.000,746000.000,731500.000,699999.000,699500.000,699000.000,699000.000,729000.000,699000.000,749000.000,749000.000,789000.000,749000.000,749000.000,749000.000,749000.000,749000.000,739888.000,709000.000,739888.000,734000.000,749444.000,749444.000,749000.000,,,,,,,,719500.000,767000.000,816500.000,,,,,,,,,,,,,,,,,,,,,,,,,,,779000.000,815000.000,850000.000,832500.000,817500.000,820000.000,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,899500.000,899500.000,849000.000,799000.000,798500.000,798000.000,798000.000,759000.000,759000.000,748000.000,753500.000,748000.000,759000.000,773500.000,773500.000,768500.000,778000.000,717000.000,736500.000,695000.000,692500.000,,,,,,,,849000.000,927000.000,,,999000.000,1119000.000,1188000.000,1174500.000,1100000.000,1150000.000,1040000.000,1250000.000,1150000.000,,,,,1128000.000,,,,,988000.000,986500.000,1049000.000,1018500.000,1080000.000,1110000.000,1150000.000,1150000.000,1232000.000,1250000.000,1244500.000,1239000.000,1069000.000,1324500.000,1399000.000,1165000.000,1199000.000,1199000.000,1249500.000,1243500.000,1440000.000,1499000.000,1478500.000,1208500.000,1253000.000,1298000.000,1292500.000,1287500.000,1250000.000,1348000.000,1343000.000,1363500.000,1489500.000,1500000.000,1388000.000,1488000.000,1388000.000,1479000.000,1399000.000,1450000.000,1482500.000,1482500.000,1499000.000,1499000.000,1499000.000,1495000.000,1488000.000,1381500.000,1499000.000,1450000.000,1437444.000,1399999.000,1399999.000,1392500.000,1390000.000,1390000.000,1392500.000,1418000.000,1379000.000,1330000.000,1280000.000,1280000.000,1195000.000,1200000.000,1258000.000,1280000.000,1299999.000,1320000.000,1433000.000,1465000.000,1599000.000,1599000.000,1599000.000,1549000.000,1548000.000,1394000.000,1499000.000,1499000.000,1500000.000,1488000.000,1488444.000,1493444.000,1498000.000,1488000.000,1499999.000,1499494.000,1381500.000,1393000.000,1358000.000,1399000.000,1480000.000,1509500.000,1574500.000,1574500.000,1493500.000,1475000.000,1467500.000,1460000.000,1497500.000,1599000.000,1687000.000,1686000.000,1687000.000,1686000.000,1650000.000,1650000.000,1594000.000,1650000.000
Bergen Beach,Brooklyn,neighborhood,,,,719000.000,,,,,,,,,,714000.000,,,,,,,,,,,,,,,,,,,,,,,,,,,577000.000,585000.000,585000.000,599000.000,595000.000,657500.000,657500.000,682000.000,699000.000,699000.000,699999.000,699000.000,700000.000,699999.000,699999.000,699000.000,699500.000,699000.000,699000.000,699000.000,697000.000,699000.000,700000.000,699000.000,700000.000,739000.000,754000.000,759000.000,759000.000,739000.000,739000.000,759000.000,749900.000,749000.000,739000.000,724000.000,749000.000,719000.000,679000.000,649000.000,649999.000,669000.000,719000.000,749000.000,749000.000,749000.000,749000.000,789000.000,789000.000,769000.000,829000.000,829000.000,849000.000,829000.000,769000.000,811500.000,769000.000,769000.000,779000.000,769000.000,769000.000,784000.000,789000.000,794000.000,799000.000,824000.000,799000.000,836500.000,849000.000,849500.000,858000.000,858000.000,884000.000,889500.000,889000.000,889000.000,808500.000,808500.000,878500.000,835000.000,818500.000,827000.000,831500.000,831500.000,869000.000,859000.000,849000.000,849000.000,858000.000,887000.000,867000.000,895000.000,895000.000,875000.000,899000.000,899000.000,859000.000,899000.000,899000.000,914000.000,899000.000,947500.000,977500.000,977500.000,985000.000,999000.000,970000.000,977500.000,968000.000,968000.000,968000.000,899999.000,894400.000,837000.000,899900.000,899999.000,874400.000,862450.000,894850.000,930000.000,862000.000,885000.000,925000.000,859500.000,895000.000,859000.000,859000.000,985000.000,830000.000,987000.000
